codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
40211;40211;INCIDENTE;RIO DE JANEIRO;RJ;****;03/01/2010;12:00:00;0
40349;40349;INCIDENTE;BELÉM;PA;SBBE;03/01/2010;11:05:00;0
40351;40351;INCIDENTE;RIO DE JANEIRO;RJ;SBRJ;03/01/2010;03:00:00;0
39527;39527;ACIDENTE;LUCAS DO RIO VERDE;MT;****;04/01/2010;17:30:00;0
40324;40324;INCIDENTE;PELOTAS;RS;SBPK;05/01/2010;19:25:00;0
39807;39807;INCIDENTE;SALVADOR;BA;****;06/01/2010;17:53:00;0
40215;40215;INCIDENTE;COARI;AM;SBUY;07/01/2010;18:40:00;0
39707;39707;INCIDENTE GRAVE;CANUTAMA;AM;****;09/01/2010;12:30:00;3
39156;39156;INCIDENTE GRAVE;CASCAVEL;PR;SBCA;10/01/2010;23:15:00;2
39711;39711;INCIDENTE GRAVE;PARÁ DE MINAS;MG;****;10/01/2010;20:00:00;0
39789;39789;INCIDENTE;SÃO PEDRO DO SUL;RS;****;10/01/2010;21:30:00;0
40069;40069;ACIDENTE;SÃO PAULO;SP;SBMT;10/01/2010;14:50:00;8
40414;40414;INCIDENTE;BRASÍLIA;DF;SBBR;10/01/2010;03:00:00;0
39507;39507;ACIDENTE;PRIMAVERA DO LESTE;MT;****;11/01/2010;17:00:00;2
40107;40107;ACIDENTE;GURUPÁ;PA;SNGU;12/01/2010;14:30:00;0
39315;39315;ACIDENTE;CANUTAMA;AM;****;15/01/2010;21:22:00;0
39809;39809;INCIDENTE;SÃO PAULO;SP;****;15/01/2010;15:00:00;0
39810;39810;INCIDENTE;SALVADOR;BA;****;15/01/2010;18:23:00;0
39828;39828;INCIDENTE;SANTOS;SP;****;15/01/2010;17:45:00;0
44575;44575;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;17/01/2010;12:27:00;0
40310;40310;INCIDENTE;CRUZEIRO DO SUL;AC;SBCZ;18/01/2010;19:32:00;0
39320;39320;ACIDENTE;FAROL;PR;****;19/01/2010;18:30:00;4
39851;39851;INCIDENTE;PASSO FUNDO;RS;SBPF;19/01/2010;03:00:00;0
40311;40311;INCIDENTE;RIO DE JANEIRO;RJ;****;19/01/2010;13:20:00;0
41577;41577;INCIDENTE;RIO DE JANEIRO;RJ;****;19/01/2010;12:16:00;0
39772;39772;INCIDENTE;UBERLÂNDIA;MG;****;20/01/2010;18:58:00;0
39847;39847;INCIDENTE;SOROCABA;SP;****;20/01/2010;13:10:00;0
39768;39768;INCIDENTE;CAMPINAS;SP;****;21/01/2010;20:45:00;0
39321;39321;ACIDENTE;PONTES E LACERDA;MT;****;23/01/2010;13:00:00;2
39709;39709;INCIDENTE GRAVE;CURITIBA;PR;SBBI;23/01/2010;16:36:00;2
39849;39849;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;23/01/2010;03:30:00;0
39323;39323;ACIDENTE;CASIMIRO DE ABREU;RJ;****;24/01/2010;16:15:00;0
39318;39318;ACIDENTE;SENADOR JOSÉ PORFÍRIO;PA;****;25/01/2010;16:20:00;5
39848;39848;INCIDENTE;GUARULHOS;SP;SBGR;25/01/2010;17:05:00;0
39322;39322;ACIDENTE;SÃO BERNARDO DO CAMPO;SP;****;26/01/2010;13:50:00;2
39487;39487;INCIDENTE GRAVE;PALMAS;TO;SBPJ;26/01/2010;16:50:00;0
39850;39850;INCIDENTE;BELÉM;PA;SBJC;26/01/2010;14:30:00;0
39319;39319;ACIDENTE;IPERÓ;SP;****;27/01/2010;11:25:00;3
39627;39627;INCIDENTE;FLORIANÓPOLIS;SC;SBFL;27/01/2010;16:15:00;0
40617;40617;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;27/01/2010;20:06:00;0
39158;39158;INCIDENTE;BELÉM;PA;****;28/01/2010;16:00:00;0
39687;39687;INCIDENTE GRAVE;PORTO UNIÃO;SC;****;28/01/2010;10:30:00;1
